Año,Estado,CVEGEO,0-4,Urb_0-4,Rur_0-4,5-11,Urb_5-11,Rur_5-11,12-19,Urb_12-19,Rur_12-19,20-59,Urb_20-59,Rur_20-59
2012,Aguascalientes,01,28.7,28.9,28.1,12.2,12.5,11.3,8.2,8.4,7.3,9.7,9.7,9.9
2012,Baja California,02,36.6,38.1,23.9,20.8,20,30.7,12.8,13.6,0,10.2,10.2,10.4
2012,Baja California Sur,03,31.8,31.3,35,26,27.4,21.7,15.3,15.6,14.2,20.2,18.5,28.1
2012,Campeche,04,24.1,21.6,29,12.3,10.8,14.7,11.4,13.5,7.4,12.9,14.6,7.7
2012,Chiapas,07,21.8,22.3,21.3,13.2,13.6,12.9,9.4,8.8,9.9,11.2,8.7,14
2012,Chihuahua,08,19.6,17.6,35.4,10,8.9,17,3.2,3.4,1.4,10.9,10.5,13.6
2012,Coahuila de Zaragoza,05,22.3,23.1,17.2,10.2,10.5,6.9,9.1,9.3,6.9,17.8,17,25.1
2012,Colima,06,24,25.5,15.8,17.8,19.2,10.4,12.9,13.6,7.9,16.7,16.7,17
2012,Durango,10,30.8,33.2,27.3,9.6,7.4,13.6,7.3,6.5,8.5,14.3,14.7,13.6
2012,México,15,29.7,27.7,37,13.4,13.7,11.9,8.3,8.9,5.4,11.7,11,16.7
2012,Guanajuato,11,26.1,29,19.9,6.6,7.4,5.1,6.9,7.9,4.7,16.9,17.3,15.7
2012,Guerrero,12,33.5,32,35.6,12.3,11,13.6,12.2,10.6,14,14.6,16,11.9
2012,Hidalgo,13,32.8,36.8,27.9,11.6,13.7,9.8,9,11.2,7,11.7,12.1,11.1
2012,Jalisco,14,14,13.8,15.4,5.6,5.5,6.3,7.5,7.2,9.2,11,11.5,7.4
2012,Michoacán de Ocampo,16,34.5,31.8,40.9,17.8,15.7,22,8.1,8.8,6.7,14.3,14.7,13.6
2012,Morelos,17,22.9,22.1,26.9,5.6,5.1,8.1,5.9,5.9,6.3,10.4,10.1,13
2012,Nayarit,18,18.3,19.6,16.5,12.2,12.5,11.8,9.2,7.3,12.4,11.3,10.1,13.8
2012,Nuevo León,19,19.6,18.5,33,12.8,11.6,21.8,10,10.1,8.2,11.9,11.8,13
2012,Oaxaca,20,29,25.8,32.4,10.8,11.3,10.3,9.3,8.5,10.3,11.7,12,11.3
2012,Puebla,21,30.9,34.7,22.5,14.6,17.8,8.1,14.3,14.7,13.2,12.7,12.7,12.7
2012,Querétaro,22,28.3,28.3,28.5,13.3,13.3,13.3,9.1,11.2,4.8,11.3,10,15.3
2012,Quintana Roo,23,17.8,19.4,12.3,11.5,12.3,8.5,12.6,12.7,12.1,15.5,13.2,28.4
2012,San Luis Potosí,24,26.8,19.9,37.1,14.5,13.7,15.5,7.5,7.4,7.6,10.9,10.7,11.4
2012,Sinaloa,25,34.5,29.6,43.2,21.1,18.6,25.5,14.2,12,18.3,14.4,14.1,15.1
2012,Sonora,26,31.2,29.6,38.4,21.1,20.8,23.6,11.4,11.5,11.3,19.7,20.2,16.7
2012,Tabasco,27,28.5,28,29.1,14.6,16.6,12.2,11,12.4,9.4,14.3,15,13.3
2012,Tamaulipas,28,14.8,13.4,21.6,15.1,16,10.2,12.1,11.5,14.9,10.4,10.2,11.5
2012,Tlaxcala,29,34.5,35.9,28.6,16.8,18.4,10.9,11.6,10.8,15,13.4,13.4,13.7
2012,Veracruz de Ignacio de la Llave,30,30.6,35.1,24.3,15.1,13.7,17.2,9.7,8.9,10.9,15.5,15.8,15.1
2012,Yucatán,31,27.3,28.6,18.9,14.2,13.7,17.3,11.6,11.6,11.9,11.6,11.7,11.3
2012,Zacatecas,32,24.5,22.9,26.6,14.2,11.9,16.3,7.5,6.9,8.1,12.5,13.6,11
2012,Distrito Federal,09,25.3,No data,No data,10.6,No data,No data,5.5,No data,No data,8.7,No data,No data