Estado,Sentenciados,Procesados
OAXACA,88,102
CHIAPAS,60,125
NAYARIT,60,18
SONORA,15,59
GUERRERO,13,28
DISTRITO FEDERAL,27,8
CHIHUAHUA,24,8
YUCATÁN,23,5
ESTADO DE MÉXICO,5,17
HIDALGO,7,11
SINALOA,9,8
MICHOACÁN,10,6
PUEBLA,10,5
BAJA CALIFORNIA,8,6
VERACRUZ,4,8
GUANAJUATO,10,1
COLIMA,2,9
MORELOS,3,7
JALISCO,1,9
TABASCO,8,2
DURANGO,5,3
CAMPECHE,0,7
COAHUILA,6,0
QUERÉTARO,1,2
NUEVO LEÓN,1,0
QUINTANA ROO,0,1
ZACATECAS,0,1
AGUASCALIENTES,0,0
BAJA CALIFORNIA SUR,0,0
SAN LUIS POTOSÍ,0,0
TAMAULIPAS,0,0
TLAXCALA,0,0